"TFSC","1347 Capital Corp.","9.98","$59.36M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc"
"TFSCR","1347 Capital Corp.","0.33","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr"
"TFSCU","1347 Capital Corp.","10.38","$43.39M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscu"
"TFSCW","1347 Capital Corp.","0.215","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw"
"PIH","1347 Property Insurance Holdings, Inc.","6.84","$41.78M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih"
"FLWS","1-800 FLOWERS.COM, Inc.","8.34","$545.71M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws"
"FCTY","1st Century Bancshares, Inc","11.26","$116.39M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty"
"FCCY","1st Constitution Bancorp (NJ)","12.25","$97.29M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","31.47","$813.48M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","11","$961.03M","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","28.38","$1.32B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou"
"JOBS","51job, Inc.","29.25","$1.74B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs"
"CAFD","8point3 Energy Partners LP","14.27","$1.01B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd"
"EGHT","8x8 Inc","13.79","$1.23B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght"
"AVHI","A V Homes, Inc.","12.03","$272.46M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi"
"SHLM","A. Schulman, Inc.","23.96","$705.13M","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm"
"AAON","AAON, Inc.","25.82","$1.37B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon"
"ABAX","ABAXIS, Inc.","44.88","$1.01B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax"
"ABEO","Abeona Therapeutics Inc.","2.9","$95.11M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo"
"ABEOW","Abeona Therapeutics Inc.","1.0534","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow"
"ABIL","Ability Inc.","4.13","$104.39M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil"
"ABMD","ABIOMED, Inc.","99.27","$4.24B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd"
"AXAS","Abraxas Petroleum Corporation","1.14","$121.28M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas"
"ACIA","Acacia Communications, Inc.","43.86","$1.56B","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia"
"ACTG","Acacia Research Corporation","4.81","$242.41M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg"
"ACHC","Acadia Healthcare Company, Inc.","56.83","$4.97B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc"
"ACAD","ACADIA Pharmaceuticals Inc.","37.39","$4.23B","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad"
"ACST","Acasti Pharma, Inc.","1.5399","$16.5M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst"
"AXDX","Accelerate Diagnostics, Inc.","15.9","$814.37M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx"
"XLRN","Acceleron Pharma Inc.","34.34","$1.28B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn"
"ANCX","Access National Corporation","20.51","$216.92M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx"
"ARAY","Accuray Incorporated","4.86","$393.29M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray"
"VXDN","AccuShares Spot CBOE VIX Down Shares","3.6","$1.53M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxdn"
"VXUP","AccuShares Spot CBOE VIX Up Shares","3.97","$168725","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxup"
"ACRX","AcelRx Pharmaceuticals, Inc.","2.87","$130.05M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx"
"ACET","Aceto Corporation","22.04","$652.06M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet"
"AKAO","Achaogen, Inc.","4.7","$86.52M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao"
"ACHN","Achillion Pharmaceuticals, Inc.","8.52","$1.16B","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn"
"ACIW","ACI Worldwide, Inc.","20.51","$2.39B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw"
"ACRS","Aclaris Therapeutics, Inc.","18.92","$384.4M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs"
"ACNB","ACNB Corporation","23.71","$143.31M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb"
"ACOR","Acorda Therapeutics, Inc.","25.73","$1.19B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor"
"ACTS","Actions Semiconductor Co., Ltd.","1.93","$165.98M","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts"
"ACPW","Active Power, Inc.","0.4741","$10.96M","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw"
"ATVI","Activision Blizzard, Inc","38.12","$28.14B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi"
"ACTA","Actua Corporation","9.04","$356.71M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta"
"ACUR","Acura Pharmaceuticals, Inc.","1.87","$22.13M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur"
"ACXM","Acxiom Corporation","21.6","$1.67B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm"
"ADMS","Adamas Pharmaceuticals, Inc.","17.51","$378.7M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms"
"ADMP","Adamis Pharmaceuticals Corporation","3.03","$45.76M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp"
"ADAP","Adaptimmune Therapeutics plc","9.1","$644.15M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap"
"ADUS","Addus HomeCare Corporation","18.71","$214.2M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus"
"AEY","ADDvantage Technologies Group, Inc.","1.8","$18.24M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey"
"IOTS","Adesto Technologies Corporation","3.69","$55.28M","2015","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots"
"ADMA","ADMA Biologics Inc","7.005","$90.27M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma"
"ADBE","Adobe Systems Incorporated","95.58","$47.81B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe"
"ADTN","ADTRAN, Inc.","18.49","$905.48M","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn"
"ADRO","Aduro Biotech, Inc.","11.27","$728.18M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro"
"AAAP","Advanced Accelerator Applications S.A.","28.6","$1.12B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap"
"AEIS","Advanced Energy Industries, Inc.","37.47","$1.48B","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis"
"AITP","Advanced Inhalation Therapies (AIT) Ltd.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aitp"
"AMD","Advanced Micro Devices, Inc.","5.26","$4.17B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd"
"ADXS","Advaxis, Inc.","8.04","$276.15M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs"
"ADXSW","Advaxis, Inc.","4.74","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw"
"ADVM","Adverum Biotechnologies, Inc.","3.3","$89.53M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/advm"
"MAUI","AdvisorShares Market Adaptive Unconstrained Income ETF","23.54","$2.35M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/maui"
"YPRO","AdvisorShares YieldPro ETF","23.55","$33.56M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ypro"
"AEGR","Aegerion Pharmaceuticals, Inc.","1.69","$49.86M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aegr"
"AEGN","Aegion Corp","19.03","$668.1M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn"
"AGLE","Aeglea BioTherapeutics, Inc.","4.5","$60.35M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agle"
"AEHR","Aehr Test Systems","1.73","$22.77M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr"
"AMTX","Aemetis, Inc","2.5","$49.35M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx"
"AEPI","AEP Industries Inc.","78.92","$403.58M","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi"
"AERI","Aerie Pharmaceuticals, Inc.","17.99","$477.25M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri"
"AVAV","AeroVironment, Inc.","30.56","$713.79M","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav"
"AEZS","AEterna Zentaris Inc.","3.56","$35.39M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs"
"AEMD","Aethlon Medical, Inc.","5.59","$42.61M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/aemd"
"AFMD","Affimed N.V.","3.03","$100.78M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd"
"AGEN","Agenus Inc.","4.035","$350.57M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen"
